temperature,expected_return,n_trades,return_per_trade,signal_pct
1.0,0.011090926475455171,351,3.1598081126652906e-05,48.822605965463104
1.5,0.008852357627244888,326,2.715447124921745e-05,44.89795918367347
2.0,0.007219751502633062,297,2.4308927618293137e-05,40.50235478806907
2.5,0.0060493640140558205,273,2.2158842542329013e-05,36.42072213500785
3.0,0.004505541079921358,240,1.8773087833005657e-05,32.33908948194662
