timestamp,open,high,low,close,volume,symbol,timeframe
2025-06-11 23:59:00+00:00,108657.52,108657.53,108645.12,108645.12,10.57185,BTC/USDT,1m
2025-06-12 00:00:00+00:00,108645.13,108645.13,108604.2,108604.2,2.12987,BTC/USDT,1m
2025-06-12 00:01:00+00:00,108604.21,108654.13,108604.2,108650.0,9.03068,BTC/USDT,1m
2025-06-12 00:02:00+00:00,108650.01,108678.09,108650.0,108654.03,4.00379,BTC/USDT,1m
2025-06-12 00:03:00+00:00,108654.04,108672.21,108654.03,108665.18,3.40954,BTC/USDT,1m
2025-06-12 00:04:00+00:00,108665.18,108665.18,108589.76,108589.77,14.10882,BTC/USDT,1m
2025-06-12 00:05:00+00:00,108589.76,108589.77,108570.64,108583.58,10.48978,BTC/USDT,1m
2025-06-12 00:06:00+00:00,108583.58,108600.0,108576.02,108593.67,4.16832,BTC/USDT,1m
2025-06-12 00:07:00+00:00,108593.67,108593.68,108567.28,108575.65,4.49276,BTC/USDT,1m
2025-06-12 00:08:00+00:00,108575.66,108595.85,108575.65,108587.75,3.36398,BTC/USDT,1m
2025-06-12 00:09:00+00:00,108587.75,108643.39,108587.75,108643.38,5.13301,BTC/USDT,1m
2025-06-12 00:10:00+00:00,108643.39,108680.0,108643.38,108660.01,4.50421,BTC/USDT,1m
2025-06-12 00:11:00+00:00,108660.0,108660.01,108604.2,108604.21,7.82452,BTC/USDT,1m
2025-06-12 00:12:00+00:00,108604.2,108604.2,108588.01,108600.91,3.55902,BTC/USDT,1m
2025-06-12 00:13:00+00:00,108600.9,108630.8,108600.9,108630.79,2.86393,BTC/USDT,1m
2025-06-12 00:14:00+00:00,108630.79,108630.8,108610.37,108610.38,2.64932,BTC/USDT,1m
2025-06-12 00:15:00+00:00,108610.38,108669.35,108610.38,108669.34,4.49111,BTC/USDT,1m
2025-06-12 00:16:00+00:00,108669.35,108684.34,108640.0,108645.94,4.82258,BTC/USDT,1m
2025-06-12 00:17:00+00:00,108645.94,108645.94,108608.39,108627.56,6.62645,BTC/USDT,1m
2025-06-12 00:18:00+00:00,108627.57,108643.39,108619.99,108635.33,4.16192,BTC/USDT,1m
2025-06-12 00:19:00+00:00,108635.32,108640.0,108613.35,108637.2,5.64226,BTC/USDT,1m
2025-06-12 00:20:00+00:00,108637.2,108660.38,108637.2,108660.37,1.18411,BTC/USDT,1m
2025-06-12 00:21:00+00:00,108660.37,108813.55,108660.37,108755.58,34.99339,BTC/USDT,1m
2025-06-12 00:22:00+00:00,108755.57,108766.42,108740.71,108758.01,12.10983,BTC/USDT,1m
