timestamp,open,high,low,close,volume,symbol,timeframe
2025-07-04 23:50:00+00:00,108053.82,108053.83,108053.82,108053.83,0.66218,BTC/USDT,1m
2025-07-04 23:51:00+00:00,108053.82,108053.83,108003.03,108003.04,2.95545,BTC/USDT,1m
2025-07-04 23:52:00+00:00,108003.03,108019.24,108003.03,108019.23,0.71097,BTC/USDT,1m
2025-07-04 23:53:00+00:00,108019.23,108019.24,108019.23,108019.23,0.78218,BTC/USDT,1m
2025-07-04 23:54:00+00:00,108019.24,108023.01,108019.23,108023.01,1.6148,BTC/USDT,1m
2025-07-04 23:55:00+00:00,108023.01,108025.09,108006.0,108006.0,4.38184,BTC/USDT,1m
2025-07-04 23:56:00+00:00,108006.01,108006.01,107992.39,107999.99,1.9267,BTC/USDT,1m
2025-07-04 23:57:00+00:00,107999.99,108006.01,107980.44,107980.45,1.98332,BTC/USDT,1m
2025-07-04 23:58:00+00:00,107980.44,107984.25,107980.44,107984.25,0.57095,BTC/USDT,1m
2025-07-04 23:59:00+00:00,107984.24,107984.25,107984.24,107984.24,1.43361,BTC/USDT,1m
2025-07-05 00:00:00+00:00,107984.25,107989.94,107984.24,107989.94,2.11519,BTC/USDT,1m
2025-07-05 00:01:00+00:00,107989.94,107989.94,107969.04,107969.05,2.92574,BTC/USDT,1m
2025-07-05 00:02:00+00:00,107969.05,107979.17,107957.0,107970.0,14.5946,BTC/USDT,1m
2025-07-05 00:03:00+00:00,107970.01,107983.0,107970.0,107982.99,1.56117,BTC/USDT,1m
2025-07-05 00:04:00+00:00,107983.0,108005.63,107982.99,107998.0,2.62837,BTC/USDT,1m
2025-07-05 00:05:00+00:00,107998.0,107998.0,107997.99,107997.99,2.21719,BTC/USDT,1m
2025-07-05 00:06:00+00:00,107997.99,107998.0,107975.4,107975.41,1.81826,BTC/USDT,1m
2025-07-05 00:07:00+00:00,107975.41,107975.41,107955.07,107955.08,2.37617,BTC/USDT,1m
2025-07-05 00:08:00+00:00,107955.07,107960.0,107955.07,107959.99,0.95503,BTC/USDT,1m
